"SigAgente","Quantidade","Media_Total","DesvioPadrao","CV","Q1","Q3"
"Neoenergia PE",4132,203.624007744434,322.965271686334,158.608641124324,6.6075,317.4325
"CEMIG-D",7671,178.057774736019,349.416477888739,196.237697795993,4.74,215.58
"CPFL JAGUARI",1374,177.986841339156,194.623132859903,109.346922163221,8.44,252.885
"ELEKTRO",5471,173.953929811735,314.851727541882,180.997191545277,4.78,261.265
"EDEVP",1480,173.395648648649,222.140225191793,128.111764581772,5.6,271.8
"CNEE",1582,164.216270543616,214.204479517319,130.44047268168,5.98,260.76
"CPFL-PAULISTA",6370,150.254913657771,263.685936515452,175.492388299552,2.89,225.93
"COPEL-DIS",7213,142.45137113545,272.179334196983,191.068244571813,4.81,174.37
"RGE SUL",2376,133.339141414141,209.90342431273,157.420710892974,5.32,209.96
"CELESC-DIS",7163,116.74634091861,219.874001679417,188.334811994411,4.94,141.425
"CERR",318,81.240251572327,121.240462439025,149.236936238542,0,184.6375
